Category,Question,Answer
Intellectual Property,What is the punishment for cyberbullying in India? (Case 1),"Under the IT Act 2000 and IPC Section 506, cyberbullying can lead to imprisonment and fines."
Employment Law,What are my rights if my employer wrongfully terminates me? (Case 2),"You can approach the labor court under the Industrial Disputes Act, 1947."
Intellectual Property,What are the rights of an arrested person? (Case 3),"An arrested person has rights under Article 22 of the Constitution, including legal representation."
Business Law,What is the punishment for cyberbullying in India? (Case 4),"Under the IT Act 2000 and IPC Section 506, cyberbullying can lead to imprisonment and fines."
Human Rights,How can I legally evict a tenant? (Case 5),Issue a legal notice for eviction and file an eviction suit under the Rent Control Act.
Family Law,What are the rights of an arrested person? (Case 6),"An arrested person has rights under Article 22 of the Constitution, including legal representation."
Human Rights,How do I file a defamation case? (Case 7),You need to prove the false statement harmed your reputation under IPC Section 499 and 500.
Civil Law,Can I get anticipatory bail in a non-bailable offense? (Case 8),"Yes, under Section 438 CrPC, you can apply for anticipatory bail."
Civil Law,How can I claim a refund for a defective product? (Case 9),"You can file a consumer complaint under the Consumer Protection Act, 2019."
Indian Constitution,Can I record a phone call as legal evidence? (Case 10),"Yes, if recorded with consent or as per judicial requirements, it can be used as evidence."
Criminal Law,What is the punishment for online financial fraud? (Case 11),"Under the IT Act and IPC 420, online fraud is punishable by fines and imprisonment."
Intellectual Property,Can I record a phone call as legal evidence? (Case 12),"Yes, if recorded with consent or as per judicial requirements, it can be used as evidence."
Intellectual Property,How do I file a defamation case? (Case 13),You need to prove the false statement harmed your reputation under IPC Section 499 and 500.
Employment Law,What are my rights if my employer wrongfully terminates me? (Case 14),"You can approach the labor court under the Industrial Disputes Act, 1947."
Intellectual Property,Can I record a phone call as legal evidence? (Case 15),"Yes, if recorded with consent or as per judicial requirements, it can be used as evidence."
Business Law,What is the punishment for cyberbullying in India? (Case 16),"Under the IT Act 2000 and IPC Section 506, cyberbullying can lead to imprisonment and fines."
Criminal Law,What are my rights if my employer wrongfully terminates me? (Case 17),"You can approach the labor court under the Industrial Disputes Act, 1947."
Indian Constitution,Can I get anticipatory bail in a non-bailable offense? (Case 18),"Yes, under Section 438 CrPC, you can apply for anticipatory bail."
Intellectual Property,What are the rights of an arrested person? (Case 19),"An arrested person has rights under Article 22 of the Constitution, including legal representation."
Property Law,How can I legally evict a tenant? (Case 20),Issue a legal notice for eviction and file an eviction suit under the Rent Control Act.
Employment Law,Can I get anticipatory bail in a non-bailable offense? (Case 21),"Yes, under Section 438 CrPC, you can apply for anticipatory bail."
Human Rights,What are the rights of an arrested person? (Case 22),"An arrested person has rights under Article 22 of the Constitution, including legal representation."
Business Law,What are my rights if my employer wrongfully terminates me? (Case 23),"You can approach the labor court under the Industrial Disputes Act, 1947."
Consumer Protection,Can I get anticipatory bail in a non-bailable offense? (Case 24),"Yes, under Section 438 CrPC, you can apply for anticipatory bail."
Tax Law,What are my rights if my employer wrongfully terminates me? (Case 25),"You can approach the labor court under the Industrial Disputes Act, 1947."
Employment Law,What are my rights if my employer wrongfully terminates me? (Case 26),"You can approach the labor court under the Industrial Disputes Act, 1947."
Cyber Law,Can I record a phone call as legal evidence? (Case 27),"Yes, if recorded with consent or as per judicial requirements, it can be used as evidence."
Cyber Law,How can I claim a refund for a defective product? (Case 28),"You can file a consumer complaint under the Consumer Protection Act, 2019."
Criminal Law,How can I claim a refund for a defective product? (Case 29),"You can file a consumer complaint under the Consumer Protection Act, 2019."
Business Law,Can I get anticipatory bail in a non-bailable offense? (Case 30),"Yes, under Section 438 CrPC, you can apply for anticipatory bail."
Criminal Law,How can I claim a refund for a defective product? (Case 31),"You can file a consumer complaint under the Consumer Protection Act, 2019."
Cyber Law,Can I record a phone call as legal evidence? (Case 32),"Yes, if recorded with consent or as per judicial requirements, it can be used as evidence."
Property Law,What are my rights if my employer wrongfully terminates me? (Case 33),"You can approach the labor court under the Industrial Disputes Act, 1947."
Property Law,What should I do if the police refuse to file an FIR? (Case 34),You can approach a higher officer or file a complaint under Section 156(3) CrPC.
Civil Law,What is the punishment for online financial fraud? (Case 35),"Under the IT Act and IPC 420, online fraud is punishable by fines and imprisonment."
Tax Law,Can I record a phone call as legal evidence? (Case 36),"Yes, if recorded with consent or as per judicial requirements, it can be used as evidence."
Consumer Protection,What are my rights if my employer wrongfully terminates me? (Case 37),"You can approach the labor court under the Industrial Disputes Act, 1947."
